location,datetime,pr,obs_CDF,past_CDF,future_CDF,past_pr,future_pr,delta,projected_pr
Philadelphia,2000-08-13 04:00:00,0.10000000149011612,0.34862881434478,0.3723614071796142,0.36959071861403714,-0.05319291632620003,-0.04460272877004254,1.0,0.10000000149011612
Philadelphia,2000-08-13 05:00:00,0.6000000089406967,0.4767390464348384,0.4492130930647125,0.441626153228684,0.7833059312188198,0.849315837881408,1.0842709138687066,0.6505625580153613
Philadelphia,2000-08-13 06:00:00,0.30000000447034836,0.4004339740983416,0.403303605412231,0.3985605417897774,0.281406622691808,0.31296469789053777,1.1121440387467059,0.333643216595683
Philadelphia,2000-08-13 07:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 08:00:00,0.30000000447034836,0.4004339740983416,0.403303605412231,0.3985605417897774,0.281406622691808,0.31296469789053777,1.1121440387467059,0.333643216595683
Philadelphia,2000-08-13 09:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 10:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 11:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 12:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 13:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 14:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 15:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 16:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 17:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 18:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 19:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 20:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 21:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 22:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-13 23:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-14 00:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-14 01:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-14 02:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-14 03:00:00,0.10000000149011612,0.34862881434478,0.3723614071796142,0.36959071861403714,-0.05319291632620003,-0.04460272877004254,1.0,0.10000000149011612
Philadelphia,2000-08-14 04:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
Philadelphia,2000-08-14 05:00:00,0.0,0.3228089619125953,0.3568653224540698,0.3550909553493798,-0.2204926858352036,-0.22338644210033226,1.0,0.0
