location,datetime,pr,obs_CDF,past_CDF,future_CDF,past_pr,future_pr,delta,projected_pr
Indianapolis,2012-01-01 00:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 01:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 02:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 03:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 04:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 05:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 06:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 07:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 08:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 09:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 10:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 11:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 12:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 13:00:00,0.10000000149011612,0.36033065641194884,0.37774361511878,0.3830274981949272,-4.2928096525424175e-07,-0.04310620872829644,1.0,0.10000000149011612
Indianapolis,2012-01-01 14:00:00,0.5000000074505806,0.47043100254250614,0.4468197268476381,0.44592174053081185,0.6395387136641089,0.6589665977341089,1.0303779640777209,0.5151889897157745
Indianapolis,2012-01-01 15:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 16:00:00,0.30000000447034836,0.4158840253274647,0.4124675073070761,0.41463603503291574,0.3197691421915717,0.3079301945029061,0.9629765786419349,0.28889297789742124
Indianapolis,2012-01-01 17:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 18:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
Indianapolis,2012-01-01 19:00:00,0.0,0.3325426996223326,0.36033073115362446,0.3671682657010468,-0.15988521501723396,-0.21862441034389798,1.0,0.0
