location,datetime,pr,obs_CDF,past_CDF,future_CDF,past_pr,future_pr,delta,projected_pr
Minneapolis,2012-01-01 00:00:00,0.0,0.3564634931750247,0.3770186151501079,0.3875273261237709,-0.10113091334023733,-0.17280858134390414,1.0,0.0
Minneapolis,2012-01-01 01:00:00,0.0,0.3564634931750247,0.3770186151501079,0.3875273261237709,-0.10113091334023733,-0.17280858134390414,1.0,0.0
Minneapolis,2012-01-01 02:00:00,0.7000000104308128,0.5375417504453067,0.5155305993383849,0.5100348941765815,0.8179618200696476,0.8661774317997311,1.0589460419142522,0.7412622403856445
Minneapolis,2012-01-01 03:00:00,2.1000000312924385,0.7986787291914567,0.73662938797034,0.7120418414349877,2.6561472868894174,2.9441494580870016,1.1084285395690012,2.3276999677803345
Minneapolis,2012-01-01 04:00:00,3.200000047683716,0.9037502100006356,0.8466676220828925,0.820066440699193,4.100435867962094,4.576841764455572,1.1161842086632243,3.5717895209461283
Minneapolis,2012-01-01 05:00:00,1.3000000193715096,0.6692062693211113,0.6215155011607993,0.6052367139910201,1.6057555915638344,1.7567368716371325,1.0940250688626023,1.4222326107143002
Minneapolis,2012-01-01 06:00:00,0.0,0.3564634931750247,0.3770186151501079,0.3875273261237709,-0.10113091334023733,-0.17280858134390414,1.0,0.0
Minneapolis,2012-01-01 07:00:00,0.0,0.3564634931750247,0.3770186151501079,0.3875273261237709,-0.10113091334023733,-0.17280858134390414,1.0,0.0
Minneapolis,2012-01-01 08:00:00,0.0,0.3564634931750247,0.3770186151501079,0.3875273261237709,-0.10113091334023733,-0.17280858134390414,1.0,0.0
Minneapolis,2012-01-01 09:00:00,0.0,0.3564634931750247,0.3770186151501079,0.3875273261237709,-0.10113091334023733,-0.17280858134390414,1.0,0.0
Minneapolis,2012-01-01 10:00:00,0.0,0.3564634931750247,0.3770186151501079,0.3875273261237709,-0.10113091334023733,-0.17280858134390414,1.0,0.0
